id,x,y
24015375,0.6491631,-9.126142
16006797,21.200739,-9.376481
22008082,-11.90361,-11.527092
22000353,-15.147348,13.709289
16004619,-13.855582,-10.473834
21003478,-1.5862601,11.336532
22011504,1.8454671,-8.046047
16000443,12.155762,16.879652
23013748,-23.36516,-21.843767
21010438,-15.842101,-0.1379735
22007831,0.36723962,10.318256
18002511,33.76269,-0.7206102
22000810,2.7701643,22.951836
23017937,15.605963,-12.670328
15013345,4.7036605,-2.9813726
21006702,-19.232754,5.4263473
18015938,20.733797,-4.679224
24006686,-20.05781,14.586671
24005210,4.0465612,9.376497
24016278,-1.6729988,6.102925
21008698,-14.078971,8.40567
18004982,-30.844387,10.174152
21006851,-11.950866,-5.528883
21008129,13.11795,9.553167
P0003322,-7.345248,12.315803
17000408,-0.77161276,19.084291
20007494,29.34648,-0.69173235
19018516,11.530741,-0.8037947
24008522,-2.2263167,2.3948
21013092,1.4625343,2.4798245
24002741,13.826814,11.492837
19004103,-19.340004,-19.748362
17000811,-25.763422,-20.570932
16003980,17.351868,-4.026792
22002418,33.469814,-3.087328
24003488,31.771152,0.9146161
23010334,23.331713,4.9086294
21011121,19.381351,1.7021441
22010035,14.161014,14.363662
17011048,26.80381,-11.81212
P0004114,20.388794,-16.52486
23017315,34.606556,7.9751754
24006254,11.694752,16.164974
24004457,16.607067,-14.351444
19003889,15.6658535,4.675513
19018517,-23.648825,8.221114
18014762,-17.90787,2.8314302
22010948,22.472828,-12.371543
18009727,-15.459035,1.1436131
23012721,-8.630719,13.828333
18007285,-37.238926,4.557531
16010527,-18.168795,-19.47804
18017900,-31.124657,11.436551
21013508,-22.237452,7.254006
19012562,9.7330475,1.7454684
18005337,-26.579304,9.426439
21006850,-17.148785,-7.055533
17017834,26.019096,5.334181
21006878,-11.727915,23.139133
19013913,44.019855,5.9986963
17013273,-13.38421,-1.1125718
18004834,-8.902312,-13.592201
22005014,11.804078,14.5646925
22000144,10.446646,5.6391187
22009174,-14.527809,6.533033
20006358,10.072147,11.833605
24011338,23.149446,-5.990766
P0003280,38.775043,6.762392
24004721,29.819536,2.930378
17010961,-24.12808,10.205527
23002491,0.15426941,18.347807
19000990,-9.244287,-3.0647771
16000867,-18.93351,8.246373
15012270,9.836587,-4.554487
19008843,-33.379402,1.2480929
22005570,-39.135754,3.6010692
16009328,31.645134,-8.584528
20008177,8.478767,-0.85027856
17004257,8.96793,-3.6561787
22015039,-9.482049,16.611193
19002407,-20.809,3.4021168
15014826,-40.399586,9.271528
22006090,2.4848175,14.930845
19006887,35.574425,1.470272
23002849,7.5540156,10.935025
23004579,5.0415444,11.00955
23003216,9.372956,7.3510823
18002923,7.43258,-7.922066
20009531,-28.838112,0.12793371
18007683,-37.67248,5.5966306
17001852,18.166904,-11.920379
23016394,10.958876,3.8844674
18017645,-20.241772,9.304522
16005935,22.24001,-14.78585
18013345,4.3179097,16.982903
16006596,-6.9696627,-7.822886
19014717,34.198532,8.92698
17000543,-30.967442,0.13236248
19005197,1.3626117,4.10553
23002478,-39.672314,4.9415436
16007663,-16.369558,-22.528913
20011140,-25.84195,-19.843086
23007528,-17.270756,14.536893
19005020,30.430405,-9.15678
21009591,14.508824,-11.260013
24004657,28.006083,-11.294465
21008880,-11.5026455,8.154412
21000204,-5.56979,-7.2375975
17003894,3.0176105,-12.563645
19013695,-32.128532,3.4931052
22010553,4.680831,-11.398985
24004870,22.938307,6.8835626
24006929,1.5445476,0.9159633
21003057,-9.178405,22.715073
19011900,11.101488,-3.7373974
24012948,-2.3378174,-23.157402
18018628,-22.70904,-22.733545
18010512,-20.854925,-11.9991455
21005181,-10.74311,-22.783524
23011799,4.4447327,5.985936
19006065,15.585855,-0.573977
24014875,-6.2943735,-18.48227
22006655,-27.603933,-0.6703916
16000520,17.196495,-2.6674063
17012219,-38.21886,2.704738
16009510,26.633728,-7.8801622
P0003888,-13.668139,7.427161
18005877,-3.213609,-19.425655
23001206,-39.11225,9.176473
18007906,-35.042133,13.050782
16010929,15.240343,-6.839767
24000626,-10.245718,5.819667
18018629,-33.889786,8.194042
19005545,-17.68895,-8.020847
16006346,-37.88203,7.3541365
22001477,-1.9040718,-1.1275243
15014560,-13.417716,5.8556547
15013227,8.418507,5.897058
P0002764,6.509721,-1.327642
17012026,7.921344,-2.494431
23005510,19.056799,-9.399304
P0003308,9.645905,-9.751437
P0002943,19.469372,0.34566298
19000171,-23.35257,-21.276756
22013926,32.06256,3.6560316
24008050,4.684894,-9.486144
19017425,-29.113323,12.161313
17014480,11.443525,7.025108
17015946,-35.413086,1.9152032
21001866,17.188786,-8.607983
18011584,30.068525,-2.6551235
24006684,-15.584956,-19.022219
23008626,7.8188505,-10.398961
P0002604,-18.943785,-19.79973
P0002837,16.847689,-13.367795
24004722,3.362542,-14.795251
17015417,27.130192,-13.11092
16001993,20.855284,-10.891095
21011042,13.690708,-3.3619528
16007312,-30.76678,-2.6242979
21007608,-32.43937,8.40836
22003658,24.848963,-8.432175
21012211,-34.743954,1.349359
19010799,-22.854391,4.637574
16005511,-16.619764,-20.816172
20005322,-30.853657,5.5832963
18010473,-4.9019322,7.3432856
22001926,7.3402443,10.172471
18009668,-13.420589,-29.117102
18010311,-20.936176,-9.815866
22014491,-20.892923,-22.248655
20003780,14.012166,-0.24493295
21005033,19.35686,-9.251135
P0003720,6.658823,6.5246844
23012450,27.814186,10.665932
16004145,4.5189757,-2.39023
23002131,18.54104,-8.460281
22004641,31.186945,-8.698119
P0002827,3.311255,-12.889469
21001080,-4.5345187,-2.6292176
17015836,-6.279262,5.755083
22015599,-1.1115125,-17.198654
24009558,-38.319004,8.979722
21008715,13.308741,6.205644
19009780,-31.95003,0.9117637
16012525,23.816978,16.265148
22013671,17.516912,12.834683
24012839,36.97696,-0.95686734
24012742,-30.606943,-0.8956388
19005019,-20.23727,12.743329
21013296,26.036135,-5.525325
24008040,29.738407,11.232852
21003913,-21.478163,10.1659155
18006611,31.706228,-9.680124
20004399,-2.7265155,16.509024
P0002990,-12.073265,-7.594388
21012639,5.115492,8.734884
21008675,17.550749,-4.0837464
22008443,22.25424,9.09856
20005044,-37.506565,8.449823
16000069,-26.732807,13.096764
19015587,-16.77738,21.879955
15013974,9.23818,-10.342477
P0002589,28.207329,-1.7554445
18011153,-28.551956,-15.4542675
16014587,39.43074,4.14964
22004090,8.237492,3.547621
24017404,-16.375555,11.194357
23002051,-17.600311,11.464208
24007824,-25.31409,-9.896142
17007639,-30.18553,11.579131
20003145,4.3916664,10.016661
16001174,21.530523,-9.892386
21004264,-5.024458,-6.8199635
17013895,-30.810673,7.9926777
P0004106,-20.009373,-19.205652
15014773,6.91811,5.671417
22003067,-3.6945186,0.96076524
24002949,3.1585896,-9.951461
17002783,19.823715,-11.011839
24005029,-1.0597736,12.8510895
19006707,8.413316,-9.426813
22013062,-19.32596,-14.293093
22015407,-7.515049,-18.216839
19015551,-10.260626,-10.3924265
24012743,-5.1959057,13.255149
16006394,16.007215,-3.8334439
16013160,-19.832851,-1.0983722
P0003537,-12.43762,12.102542
24006859,16.016146,-4.973221
24006656,11.141833,-16.833263
19004514,-9.92109,11.560123
22005210,-22.509861,-14.756169
23006356,-25.976,11.29126
17018136,31.780178,-1.7460148
24006483,1.4051459,-8.75368
15015280,22.508034,-19.13608
24018130,-26.37653,5.4425325
19015155,8.7062845,-9.697794
19016460,0.63350505,-4.324668
21009805,-13.4405,-6.287793
17013908,-29.461918,11.266821
24015358,-16.686562,4.206186
17003299,-28.204878,17.441195
P0003910,-1.4377669,5.848035
20005494,-6.8290963,18.251242
P0003051,-18.387794,-16.750103
P0002429,-25.759903,-16.229113
16004146,-16.885347,-0.68847257
18013196,-26.762167,10.957576
P0003723,-1.0036743,-9.14192
17014068,-16.314507,-13.772167
22004130,1.1031218,-9.023339
15013142,-19.97404,-1.3802514
P0004070,-2.7952595,-6.1090627
P0003290,1.1252028,-0.9125676
24000543,-15.309264,9.742686
19002167,35.906345,-2.036249
17006875,-28.78769,4.173585
22007820,-9.499843,-8.4939575
24004719,-15.175816,-16.170195
17010795,-27.947533,2.3218513
16002735,-39.16636,3.5153077
21008716,28.500679,-7.1222486
21003125,33.999443,-1.714324
15012062,1.8346134,1.6158589
17016455,-7.189377,1.8037994
20011146,-32.874695,9.10355
15012738,-14.572157,-22.09996
21009352,-29.166761,-20.480387
23003827,-9.472914,3.4877815
16007088,44.32424,4.950904
16006396,29.078882,-7.124453
18013237,4.8832445,-4.4893556
24014330,6.033011,-12.243902
18010716,0.737612,7.671748
22010596,13.259391,-12.356413
24006708,20.156622,9.877133
16009714,34.792057,-5.487634
17012747,-36.437725,5.1238837
22010970,1.1471812,-1.3651991
23002085,7.1188955,-12.842097
22000587,34.298595,8.81962
21007974,2.0162327,-9.057441
23004437,24.449314,-13.718704
24014683,-7.916753,-18.249985
16010735,-23.568232,-8.318572
15014003,-40.59708,10.793551
20010648,-19.774185,-18.476833
19006088,20.50621,-4.0895386
17002024,1.4315624,-3.3406851
22016332,7.8003244,1.0183309
P0002560,-29.650282,-20.99284
18011838,-0.3150127,2.2503333
15015308,22.508305,-19.13656
22016496,-30.16074,5.9300637
22004092,34.88745,7.3036704
25000535,33.90616,4.4854407
21009794,36.826645,1.1433951
21005810,8.386333,14.366933
23016797,15.080802,10.189385
17012752,29.522913,-4.1424236
17006733,-14.541453,11.91306
16005675,8.65161,11.804678
22003514,-29.213556,6.8781385
18013587,34.841045,-3.3119972
17008044,-12.773651,-1.3890114
19017345,-4.9636245,5.912958
23009489,28.622404,0.5877334
19014923,-14.665232,2.434033
15010884,-23.626198,0.037931867
22002024,-18.127037,14.130523
22003312,-33.1712,13.902766
20002113,-32.722828,6.3326397
16012527,7.102473,8.318511
16009852,-29.015839,-7.901501
16002913,13.442235,5.5086827
P0003285,36.582138,-10.025499
19006466,-1.3621799,5.548024
18001746,-9.0804205,14.471595
19019234,16.981955,-13.595937
16009339,26.23421,-2.7400074
21010414,-0.36485478,3.9767303
16014368,26.315239,-6.7604895
20002463,-9.300046,10.867004
20003782,-25.130463,-17.884974
19007234,-15.62795,-13.764817
16015089,-16.374838,8.969791
18005779,-25.464342,-22.307014
20003929,-0.74979675,18.062473
18007620,14.510484,-8.932463
23003510,25.250425,3.5825212
17016625,12.027052,-4.523423
21003433,-15.007534,4.2380576
20002362,33.529984,-14.99985
18006714,17.707434,3.03262
18013319,11.170918,-5.9093285
P0002842,1.745018,-17.95076
23018468,-37.45619,9.768464
17012669,-27.334103,-4.4803376
18015146,18.26649,-11.687357
17010863,-9.244305,-3.1920881
22002889,-17.666605,7.1856804
22004220,24.793306,-0.38708684
19005929,9.846857,-1.7593447
18017962,-22.369226,15.686644
24010865,22.58905,-6.630231
22005670,10.931652,10.916406
21009081,7.618983,-8.608077
18015378,16.15631,-3.3734756
18015350,10.9206295,12.838707
16004929,-28.464392,5.61889
19016570,-34.50445,7.0274744
18015422,-26.766954,-16.519531
23011706,-19.204489,-14.515703
21009056,-25.337421,4.261977
16008652,-15.115206,-21.948713
22005328,6.5934477,-0.874484
22007259,15.199191,-2.2281816
17004433,13.539077,-11.333395
23005997,12.491169,19.379566
20003108,-18.706062,13.555045
16001138,-6.828996,-9.306725
18010599,-39.197433,6.049516
19015910,-20.626488,-3.872366
22003765,8.496912,2.6339717
P0003157,-22.088396,-20.307655
22011360,-22.770615,9.508998
22007264,12.626032,-3.281513
23009160,-15.100999,7.200593
23010394,30.094667,6.570021
